iter	Logloss	Accuracy	F1
336	0.2846571372	0.9041916168	0.8620689655
337	0.2844219202	0.9041916168	0.8620689655
338	0.2842721772	0.9026946108	0.8602150538
339	0.283764303	0.9026946108	0.8602150538
340	0.2837208374	0.9026946108	0.8602150538
341	0.2829730661	0.9026946108	0.8602150538
342	0.2828121468	0.9026946108	0.8602150538
343	0.2825429552	0.9026946108	0.8602150538
344	0.2816978967	0.9041916168	0.8626609442
345	0.2812802854	0.9041916168	0.8626609442
346	0.2803450003	0.9041916168	0.8626609442
347	0.2796085116	0.9041916168	0.8626609442
348	0.2793428546	0.9041916168	0.8626609442
349	0.2786005696	0.9041916168	0.8626609442
350	0.2777571323	0.9041916168	0.8626609442
351	0.2776089897	0.9041916168	0.8626609442
352	0.2767992106	0.9041916168	0.8626609442
353	0.2764869294	0.9041916168	0.8626609442
354	0.275783873	0.9041916168	0.8626609442
355	0.2757405707	0.9041916168	0.8626609442
356	0.2753458076	0.9041916168	0.8626609442
357	0.2747525854	0.9041916168	0.8626609442
358	0.2743579086	0.9041916168	0.8626609442
359	0.2743103416	0.9041916168	0.8626609442
360	0.2740093861	0.9041916168	0.8626609442
361	0.2736344257	0.9041916168	0.8626609442
362	0.2733079532	0.9041916168	0.8626609442
363	0.2731318619	0.9041916168	0.8626609442
364	0.2728255929	0.9041916168	0.8626609442
365	0.2727949269	0.9041916168	0.8626609442
366	0.2721217038	0.9041916168	0.8626609442
367	0.271768162	0.9041916168	0.8626609442
368	0.271494165	0.9041916168	0.8626609442
369	0.2713830763	0.9041916168	0.8626609442
370	0.2709699931	0.9041916168	0.8626609442
371	0.2701376347	0.9041916168	0.8626609442
372	0.2700162723	0.9041916168	0.8626609442
373	0.2697267656	0.9041916168	0.8626609442
374	0.2694130103	0.9041916168	0.8626609442
375	0.2693252867	0.9041916168	0.8626609442
376	0.2687680374	0.9071856287	0.8675213675
377	0.2685854269	0.9071856287	0.8675213675
378	0.2679400784	0.9071856287	0.8675213675
379	0.2670537014	0.9086826347	0.869379015
380	0.2665019333	0.9086826347	0.869379015
381	0.2659584776	0.9101796407	0.8712446352
382	0.2658405132	0.9101796407	0.8712446352
383	0.2656424772	0.9101796407	0.8712446352
384	0.2648388942	0.9101796407	0.8712446352
385	0.2644949515	0.9086826347	0.869379015
386	0.2640026401	0.9086826347	0.869379015
387	0.2639476974	0.9086826347	0.869379015
388	0.2636118116	0.9101796407	0.8717948718
389	0.2628712032	0.9101796407	0.8712446352
390	0.2627320393	0.9101796407	0.8712446352
391	0.2623286294	0.9101796407	0.8717948718
392	0.2617677869	0.9101796407	0.8717948718
393	0.2611560847	0.9101796407	0.8717948718
394	0.2608313961	0.9101796407	0.8717948718
395	0.2603952885	0.9101796407	0.8717948718
396	0.2602947062	0.9101796407	0.8717948718
397	0.2597627172	0.9101796407	0.8717948718
398	0.2596065801	0.9101796407	0.8717948718
399	0.2595423553	0.9116766467	0.8736616702
400	0.259483807	0.9116766467	0.8736616702
401	0.2593402713	0.9116766467	0.8736616702
402	0.2591148007	0.9116766467	0.8736616702
403	0.2589805692	0.9116766467	0.8736616702
404	0.2588899071	0.9116766467	0.8736616702
405	0.258414595	0.9131736527	0.8755364807
406	0.2579933708	0.9146706587	0.8779443255
407	0.2576120754	0.9146706587	0.8779443255
408	0.2573523575	0.9146706587	0.8779443255
409	0.2572755046	0.9146706587	0.8779443255
410	0.256877067	0.9176646707	0.8827292111
411	0.2567812983	0.9161676647	0.8803418803
412	0.2562087316	0.9176646707	0.8827292111
413	0.2558420049	0.9161676647	0.8808510638
414	0.255365374	0.9161676647	0.8808510638
415	0.2553291875	0.9161676647	0.8808510638
416	0.2551954148	0.9161676647	0.8808510638
417	0.2548738896	0.9176646707	0.8827292111
418	0.2548337477	0.9176646707	0.8827292111
419	0.2545168889	0.9176646707	0.8827292111
420	0.25448912	0.9176646707	0.8827292111
421	0.2544236848	0.9176646707	0.8827292111
422	0.2541059582	0.9176646707	0.8827292111
423	0.2539580882	0.9176646707	0.8827292111
424	0.2535691728	0.9176646707	0.8822269807
425	0.2534032362	0.9176646707	0.8822269807
426	0.2529053165	0.9191616766	0.8846153846
427	0.2524363157	0.9191616766	0.8846153846
428	0.2524112901	0.9191616766	0.8846153846
429	0.2520043288	0.9191616766	0.8846153846
430	0.2517401377	0.9191616766	0.8846153846
431	0.2513863472	0.9191616766	0.8846153846
432	0.2504186315	0.9206586826	0.8869936034
433	0.2496300087	0.9206586826	0.8869936034
434	0.2491072519	0.9206586826	0.8869936034
435	0.2490606245	0.9206586826	0.8869936034
436	0.248759823	0.9206586826	0.8869936034
437	0.2484354213	0.9206586826	0.8869936034
438	0.2475788675	0.9221556886	0.8888888889
439	0.247349149	0.9206586826	0.8869936034
440	0.2470196619	0.9206586826	0.8869936034
441	0.246974324	0.9206586826	0.8869936034
442	0.2467800117	0.9206586826	0.8869936034
443	0.2462157281	0.9206586826	0.8869936034
444	0.2455488234	0.9221556886	0.8888888889
445	0.2454992269	0.9206586826	0.8869936034
446	0.2454823466	0.9206586826	0.8869936034
447	0.2451277417	0.9221556886	0.8888888889
448	0.2451061977	0.9221556886	0.8888888889
449	0.2450824536	0.9221556886	0.8888888889
450	0.2447372781	0.9206586826	0.8869936034
451	0.2442383862	0.9206586826	0.8869936034
452	0.2437505598	0.9206586826	0.8869936034
453	0.2434299759	0.9236526946	0.8907922912
454	0.2430659568	0.9236526946	0.8907922912
455	0.2430270417	0.9236526946	0.8907922912
456	0.2427738858	0.9236526946	0.8907922912
457	0.2425688064	0.9236526946	0.8907922912
458	0.2424027047	0.9236526946	0.8907922912
459	0.2420582584	0.9236526946	0.8907922912
460	0.2415431862	0.9236526946	0.8907922912
461	0.2412623126	0.9236526946	0.8907922912
462	0.2409588674	0.9236526946	0.8907922912
463	0.2406763079	0.9236526946	0.8907922912
464	0.2401859678	0.9236526946	0.8907922912
465	0.2398564001	0.9236526946	0.8907922912
466	0.2394755934	0.9251497006	0.8931623932
467	0.239436931	0.9251497006	0.8931623932
468	0.2391093002	0.9251497006	0.8931623932
469	0.2386625172	0.9251497006	0.8931623932
470	0.2381872339	0.9251497006	0.8931623932
471	0.2376055075	0.9236526946	0.8907922912
472	0.2369852521	0.9236526946	0.8907922912
473	0.2367770947	0.9236526946	0.8907922912
474	0.2366902334	0.9236526946	0.8907922912
475	0.2364978025	0.9251497006	0.8927038627
476	0.235951465	0.9266467066	0.8950749465
477	0.2357714956	0.9266467066	0.8950749465
478	0.2356673774	0.9266467066	0.8950749465
479	0.2352692081	0.9251497006	0.8931623932
480	0.2351312473	0.9251497006	0.8931623932
481	0.2348799601	0.9251497006	0.8931623932
482	0.2344201771	0.9266467066	0.8955223881
483	0.2339024688	0.9281437126	0.8974358974
484	0.2337993459	0.9281437126	0.8974358974
485	0.2336697914	0.9281437126	0.8974358974
486	0.2332567754	0.9296407186	0.8993576017
487	0.2326517328	0.9296407186	0.8993576017
488	0.232482787	0.9281437126	0.8974358974
489	0.232283346	0.9296407186	0.8993576017
490	0.2318461265	0.9296407186	0.8993576017
491	0.2316778152	0.9281437126	0.8974358974
492	0.2312692608	0.9281437126	0.8974358974
493	0.2311996719	0.9281437126	0.8974358974
494	0.2310230504	0.9281437126	0.8978723404
495	0.2309937916	0.9281437126	0.8978723404
496	0.2309784047	0.9281437126	0.8978723404
497	0.2309378567	0.9281437126	0.8978723404
498	0.2307584173	0.9281437126	0.8978723404
499	0.2303942704	0.9266467066	0.8959660297
500	0.2299915956	0.9266467066	0.8959660297
501	0.2299763037	0.9266467066	0.8959660297
502	0.2294095348	0.9281437126	0.8978723404
503	0.2290032502	0.9281437126	0.8978723404
504	0.2286083509	0.9281437126	0.8978723404
505	0.2284726754	0.9281437126	0.8978723404
506	0.2280682284	0.9281437126	0.8978723404
507	0.2279170923	0.9281437126	0.8978723404
508	0.2277099753	0.9281437126	0.8978723404
509	0.2272629051	0.9281437126	0.8978723404
510	0.2272161987	0.9281437126	0.8978723404
511	0.2268179996	0.9281437126	0.8978723404
512	0.2267750971	0.9281437126	0.8978723404
513	0.2263630638	0.9296407186	0.9002123142
514	0.2261492192	0.9296407186	0.9002123142
515	0.2257929842	0.9296407186	0.9002123142
516	0.2256643045	0.9296407186	0.9002123142
517	0.2251149247	0.9296407186	0.9002123142
518	0.2244045999	0.9311377246	0.9021276596
519	0.2239187379	0.9311377246	0.9021276596
520	0.2236434502	0.9311377246	0.9021276596
521	0.2233772541	0.9311377246	0.9021276596
522	0.2231432102	0.9311377246	0.9021276596
523	0.2228520326	0.9311377246	0.9021276596
524	0.2225748313	0.9311377246	0.9021276596
525	0.2223664713	0.9311377246	0.9021276596
526	0.2223400695	0.9311377246	0.9021276596
527	0.2220189212	0.9311377246	0.9021276596
528	0.2217846421	0.9311377246	0.9021276596
529	0.2214846261	0.9311377246	0.9021276596
530	0.2211278744	0.9326347305	0.9040511727
531	0.2210115842	0.9326347305	0.9040511727
532	0.2204093749	0.9311377246	0.9021276596
533	0.2203590416	0.9311377246	0.9021276596
534	0.2200486596	0.9326347305	0.9040511727
535	0.2195000492	0.9326347305	0.9040511727
536	0.219345597	0.9326347305	0.9040511727
537	0.2192746845	0.9326347305	0.9040511727
538	0.2190067206	0.9326347305	0.9040511727
539	0.2189001321	0.9341317365	0.9063829787
540	0.2187513056	0.9341317365	0.9063829787
541	0.2184514077	0.9341317365	0.9063829787
542	0.2183677839	0.9341317365	0.9063829787
543	0.2183437854	0.9341317365	0.9063829787
544	0.2180894156	0.9356287425	0.908315565
545	0.2179381072	0.9341317365	0.9063829787
546	0.2178779668	0.9341317365	0.9063829787
547	0.2176537319	0.9356287425	0.9087048832
548	0.2175998158	0.9356287425	0.9087048832
549	0.2170950017	0.9356287425	0.9087048832
550	0.2168404821	0.9356287425	0.9087048832
551	0.2168098587	0.9356287425	0.9087048832
552	0.2165879006	0.9356287425	0.9087048832
553	0.2162678109	0.9356287425	0.9087048832
554	0.2160271315	0.9356287425	0.9087048832
555	0.215848568	0.9356287425	0.9087048832
556	0.2156300104	0.9371257485	0.9106382979
557	0.2154524295	0.9371257485	0.9106382979
558	0.2153957652	0.9371257485	0.9106382979
559	0.2153603493	0.9371257485	0.9106382979
560	0.2153033518	0.9371257485	0.9106382979
561	0.2152632726	0.9371257485	0.9106382979
562	0.2148556412	0.9386227545	0.9129511677
563	0.2148436311	0.9386227545	0.9129511677
564	0.2148227893	0.9386227545	0.9129511677
565	0.2147964772	0.9386227545	0.9129511677
566	0.2146438155	0.9386227545	0.9129511677
567	0.2144449844	0.9386227545	0.9129511677
568	0.2142730646	0.9386227545	0.9129511677
569	0.21425584	0.9386227545	0.9129511677
570	0.2139707751	0.9386227545	0.9129511677
571	0.2137729806	0.9386227545	0.9129511677
572	0.2136809718	0.9386227545	0.9129511677
573	0.2133414136	0.9386227545	0.9129511677
574	0.2132676029	0.9386227545	0.9129511677
575	0.2127804863	0.9386227545	0.9129511677
576	0.212457796	0.9371257485	0.9110169492
577	0.2124095591	0.9371257485	0.9110169492
578	0.2121429675	0.9371257485	0.9110169492
579	0.2120690065	0.9371257485	0.9110169492
580	0.2120014241	0.9371257485	0.9110169492
581	0.2116057557	0.9386227545	0.9129511677
582	0.2115861705	0.9386227545	0.9129511677
583	0.2112349952	0.9386227545	0.9129511677
584	0.2110964586	0.9386227545	0.9129511677
585	0.2109454836	0.9401197605	0.9152542373
586	0.2105431363	0.9401197605	0.9152542373
587	0.2104800977	0.9401197605	0.9152542373
588	0.2104397091	0.9401197605	0.9152542373
589	0.2104014757	0.9401197605	0.9152542373
590	0.210296833	0.9401197605	0.9152542373
591	0.2097521568	0.9401197605	0.9152542373
592	0.2095017428	0.9401197605	0.9152542373
593	0.2091593496	0.9401197605	0.9152542373
594	0.2091078514	0.9401197605	0.9152542373
595	0.2089828242	0.9401197605	0.9152542373
596	0.2089574097	0.9401197605	0.9152542373
597	0.2088315352	0.9401197605	0.9152542373
598	0.2087161362	0.9401197605	0.9152542373
599	0.2082829397	0.9401197605	0.9152542373
600	0.2079267522	0.9401197605	0.9152542373
601	0.2075646581	0.9401197605	0.9152542373
602	0.2074098386	0.9401197605	0.9152542373
603	0.2071487968	0.9401197605	0.9152542373
604	0.2069985813	0.9401197605	0.9152542373
605	0.2068761657	0.9401197605	0.9152542373
606	0.2068542479	0.9401197605	0.9152542373
607	0.2064716838	0.9401197605	0.9152542373
